"","beta","s1","s2","t1","t2","invSelAdv"
"1",0,0.05,0.05,0.05,0.05,2.0006965641114e-05
"2",0,0.1,0.1,0.1,0.1,0.000321423562918096
"3",0,0.05,0.05,0.1,0.1,7.57876236449715e-05
"4",0,0.1,0.1,0.05,0.05,1.9530076167716e-05
"5",0.1,0.05,0.05,0.05,0.05,0.000736147593667588
"6",0.1,0.1,0.1,0.1,0.1,0.00203698888423327
"7",0.1,0.05,0.05,0.1,0.1,0.00560831445179003
"8",0.1,0.1,0.1,0.05,0.05,-0.00245762350742119
"9",0.2,0.05,0.05,0.05,0.05,0.00158426656903589
"10",0.2,0.1,0.1,0.1,0.1,0.00347151596196437
"11",0.2,0.05,0.05,0.1,0.1,0.0100389146313808
"12",0.2,0.1,0.1,0.05,0.05,-0.00696215501207162
"13",0.3,0.05,0.05,0.05,0.05,0.00260057948472206
"14",0.3,0.1,0.1,0.1,0.1,0.00526158674394728
"15",0.3,0.05,0.05,0.1,0.1,0.0136301192679827
"16",0.3,0.1,0.1,0.05,0.05,-0.0103875440476797
"17",0.4,0.05,0.05,0.05,0.05,0.00380449220104925
"18",0.4,0.1,0.1,0.1,0.1,0.00754531368435318
"19",0.4,0.05,0.05,0.1,0.1,0.0176156313677441
"20",0.4,0.1,0.1,0.05,0.05,-0.0136308013477626
"21",0.5,0.05,0.05,0.05,0.05,0.00531847020575402
"22",0.5,0.1,0.1,0.1,0.1,0.0104589046728613
"23",0.5,0.05,0.05,0.1,0.1,0.0224745206924872
"24",0.5,0.1,0.1,0.05,0.05,-0.0168944388718113
"25",0.6,0.05,0.05,0.05,0.05,0.00730388802750226
"26",0.6,0.1,0.1,0.1,0.1,0.0143101124092805
"27",0.6,0.05,0.05,0.1,0.1,0.0287913223339623
"28",0.6,0.1,0.1,0.05,0.05,-0.0202042464625888
"29",0.7,0.05,0.05,0.05,0.05,0.0100779192055255
"30",0.7,0.1,0.1,0.1,0.1,0.0197479289877957
"31",0.7,0.05,0.05,0.1,0.1,0.037533415601197
"32",0.7,0.1,0.1,0.05,0.05,-0.0236040987881025
"33",0.8,0.05,0.05,0.05,0.05,0.0143959830644217
"34",0.8,0.1,0.1,0.1,0.1,0.0283171445025797
"35",0.8,0.05,0.05,0.1,0.1,0.0503883241345639
"36",0.8,0.1,0.1,0.05,0.05,-0.0277382976771569
"37",0.9,0.05,0.05,0.05,0.05,0.0226239243448377
"38",0.9,0.1,0.1,0.1,0.1,0.0440358305147213
"39",0.9,0.05,0.05,0.1,0.1,0.0570952855497549
"40",0.9,0.1,0.1,0.05,0.05,-0.0316226065650833
