"","beta","q","r","u","v","hfA","sfA","hmA","smA","hfB","sfB","hmB","smB","invSelAdv"
"1",0,0.5,0.005,1e-05,1e-05,0.25,0.01,0.25,0.01,0.25,0.01,0.25,0.01,-0.00250736238337417
"2",0,0.5,0.005,1e-05,1e-05,0.25,0.05,0.25,0.05,0.25,0.05,0.25,0.05,-0.0125755204452351
"3",0,0.5,0.005,1e-05,1e-05,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-0.000322991036957245
"4",0,0.5,0.005,1e-05,1e-05,0.01,0.05,0.01,0.05,0.01,0.05,0.01,0.05,-0.000908097401828369
"5",0.1,0.5,0.005,1e-05,1e-05,0.25,0.01,0.25,0.01,0.25,0.01,0.25,0.01,-0.00250724457442922
"6",0.1,0.5,0.005,1e-05,1e-05,0.25,0.05,0.25,0.05,0.25,0.05,0.25,0.05,-0.012583017556181
"7",0.1,0.5,0.005,1e-05,1e-05,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-0.000235131665047281
"8",0.1,0.5,0.005,1e-05,1e-05,0.01,0.05,0.01,0.05,0.01,0.05,0.01,0.05,-0.00066844386532973
"9",0.2,0.5,0.005,1e-05,1e-05,0.25,0.01,0.25,0.01,0.25,0.01,0.25,0.01,-0.00250701694989409
"10",0.2,0.5,0.005,1e-05,1e-05,0.25,0.05,0.25,0.05,0.25,0.05,0.25,0.05,-0.0125932895623253
"11",0.2,0.5,0.005,1e-05,1e-05,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-0.000179647200515691
"12",0.2,0.5,0.005,1e-05,1e-05,0.01,0.05,0.01,0.05,0.01,0.05,0.01,0.05,-0.000588479420031194
"13",0.3,0.5,0.005,1e-05,1e-05,0.25,0.01,0.25,0.01,0.25,0.01,0.25,0.01,-0.00250703950706373
"14",0.3,0.5,0.005,1e-05,1e-05,0.25,0.05,0.25,0.05,0.25,0.05,0.25,0.05,-0.0126076175280707
"15",0.3,0.5,0.005,1e-05,1e-05,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-0.000148082335869677
"16",0.3,0.5,0.005,1e-05,1e-05,0.01,0.05,0.01,0.05,0.01,0.05,0.01,0.05,-0.000553369883422724
"17",0.4,0.5,0.005,1e-05,1e-05,0.25,0.01,0.25,0.01,0.25,0.01,0.25,0.01,-0.00250739886924642
"18",0.4,0.5,0.005,1e-05,1e-05,0.25,0.05,0.25,0.05,0.25,0.05,0.25,0.05,-0.0126277456129924
"19",0.4,0.5,0.005,1e-05,1e-05,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-0.000129594875075588
"20",0.4,0.5,0.005,1e-05,1e-05,0.01,0.05,0.01,0.05,0.01,0.05,0.01,0.05,-0.000534860789797059
"21",0.5,0.5,0.005,1e-05,1e-05,0.25,0.01,0.25,0.01,0.25,0.01,0.25,0.01,-0.00250825376835998
"22",0.5,0.5,0.005,1e-05,1e-05,0.25,0.05,0.25,0.05,0.25,0.05,0.25,0.05,-0.0126567005469783
"23",0.5,0.5,0.005,1e-05,1e-05,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-0.000118239961717696
"24",0.5,0.5,0.005,1e-05,1e-05,0.01,0.05,0.01,0.05,0.01,0.05,0.01,0.05,-0.000524251127384588
"25",0.6,0.5,0.005,1e-05,1e-05,0.25,0.01,0.25,0.01,0.25,0.01,0.25,0.01,-0.00250992743474978
"26",0.6,0.5,0.005,1e-05,1e-05,0.25,0.05,0.25,0.05,0.25,0.05,0.25,0.05,-0.0127014561335848
"27",0.6,0.5,0.005,1e-05,1e-05,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-0.000111059676010686
"28",0.6,0.5,0.005,1e-05,1e-05,0.01,0.05,0.01,0.05,0.01,0.05,0.01,0.05,-0.000518262001426768
"29",0.7,0.5,0.005,1e-05,1e-05,0.25,0.01,0.25,0.01,0.25,0.01,0.25,0.01,-0.00251317944029103
"30",0.7,0.5,0.005,1e-05,1e-05,0.25,0.05,0.25,0.05,0.25,0.05,0.25,0.05,-0.0127751935168046
"31",0.7,0.5,0.005,1e-05,1e-05,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-0.000106613550794968
"32",0.7,0.5,0.005,1e-05,1e-05,0.01,0.05,0.01,0.05,0.01,0.05,0.01,0.05,-0.000515715353388421
"33",0.8,0.5,0.005,1e-05,1e-05,0.25,0.01,0.25,0.01,0.25,0.01,0.25,0.01,-0.00252025072622233
"34",0.8,0.5,0.005,1e-05,1e-05,0.25,0.05,0.25,0.05,0.25,0.05,0.25,0.05,-0.0129126134674193
"35",0.8,0.5,0.005,1e-05,1e-05,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-0.000104419094347433
"36",0.8,0.5,0.005,1e-05,1e-05,0.01,0.05,0.01,0.05,0.01,0.05,0.01,0.05,-0.000517024026743905
"37",0.9,0.5,0.005,1e-05,1e-05,0.25,0.01,0.25,0.01,0.25,0.01,0.25,0.01,-0.00254116330588176
"38",0.9,0.5,0.005,1e-05,1e-05,0.25,0.05,0.25,0.05,0.25,0.05,0.25,0.05,-0.013222893866137
"39",0.9,0.5,0.005,1e-05,1e-05,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-0.000105729794569519
"40",0.9,0.5,0.005,1e-05,1e-05,0.01,0.05,0.01,0.05,0.01,0.05,0.01,0.05,-0.000526146578519444
