"","beta","q","r","u","v","hfA","sfA","hmA","smA","hfB","sfB","hmB","smB","invSelAdv"
"1",0,0.5,0.5,1e-05,1e-05,0.1,0.01,0.1,0.01,0.1,0.01,0.1,0.01,-0.00105017469682636
"2",0,0.5,0.5,1e-05,1e-05,0.1,0.05,0.1,0.05,0.1,0.05,0.1,0.05,-0.00505918002142316
"3",0,0.001,0.5,1e-05,1e-05,0.1,0.01,0.1,0.01,0.1,0.01,0.1,0.01,-0.00104911528397389
"4",0,0.001,0.5,1e-05,1e-05,0.1,0.05,0.1,0.05,0.1,0.05,0.1,0.05,-0.00505722348475112
"5",0.1,0.5,0.5,1e-05,1e-05,0.1,0.01,0.1,0.01,0.1,0.01,0.1,0.01,-0.00103788850056672
"6",0.1,0.5,0.5,1e-05,1e-05,0.1,0.05,0.1,0.05,0.1,0.05,0.1,0.05,-0.00504875923598341
"7",0.1,0.001,0.5,1e-05,1e-05,0.1,0.01,0.1,0.01,0.1,0.01,0.1,0.01,-0.00103657692771054
"8",0.1,0.001,0.5,1e-05,1e-05,0.1,0.05,0.1,0.05,0.1,0.05,0.1,0.05,-0.00504568380844292
"9",0.2,0.5,0.5,1e-05,1e-05,0.1,0.01,0.1,0.01,0.1,0.01,0.1,0.01,-0.00102859822242516
"10",0.2,0.5,0.5,1e-05,1e-05,0.1,0.05,0.1,0.05,0.1,0.05,0.1,0.05,-0.00504282401860282
"11",0.2,0.001,0.5,1e-05,1e-05,0.1,0.01,0.1,0.01,0.1,0.01,0.1,0.01,-0.0010270930768743
"12",0.2,0.001,0.5,1e-05,1e-05,0.1,0.05,0.1,0.05,0.1,0.05,0.1,0.05,-0.00503890345227759
"13",0.3,0.5,0.5,1e-05,1e-05,0.1,0.01,0.1,0.01,0.1,0.01,0.1,0.01,-0.00102163958794662
"14",0.3,0.5,0.5,1e-05,1e-05,0.1,0.05,0.1,0.05,0.1,0.05,0.1,0.05,-0.00504062538801684
"15",0.3,0.001,0.5,1e-05,1e-05,0.1,0.01,0.1,0.01,0.1,0.01,0.1,0.01,-0.0010199859910911
"16",0.3,0.001,0.5,1e-05,1e-05,0.1,0.05,0.1,0.05,0.1,0.05,0.1,0.05,-0.00503601974179818
"17",0.4,0.5,0.5,1e-05,1e-05,0.1,0.01,0.1,0.01,0.1,0.01,0.1,0.01,-0.0010164805972356
"18",0.4,0.5,0.5,1e-05,1e-05,0.1,0.05,0.1,0.05,0.1,0.05,0.1,0.05,-0.00504209834351458
"19",0.4,0.001,0.5,1e-05,1e-05,0.1,0.01,0.1,0.01,0.1,0.01,0.1,0.01,-0.00101470225716209
"20",0.4,0.001,0.5,1e-05,1e-05,0.1,0.05,0.1,0.05,0.1,0.05,0.1,0.05,-0.00503693792614085
"21",0.5,0.5,0.5,1e-05,1e-05,0.1,0.01,0.1,0.01,0.1,0.01,0.1,0.01,-0.00101276421091447
"22",0.5,0.5,0.5,1e-05,1e-05,0.1,0.05,0.1,0.05,0.1,0.05,0.1,0.05,-0.00504796918968457
"23",0.5,0.001,0.5,1e-05,1e-05,0.1,0.01,0.1,0.01,0.1,0.01,0.1,0.01,-0.00101085721135945
"24",0.5,0.001,0.5,1e-05,1e-05,0.1,0.05,0.1,0.05,0.1,0.05,0.1,0.05,-0.00504240529111328
"25",0.6,0.5,0.5,1e-05,1e-05,0.1,0.01,0.1,0.01,0.1,0.01,0.1,0.01,-0.00101031052446358
"26",0.6,0.5,0.5,1e-05,1e-05,0.1,0.05,0.1,0.05,0.1,0.05,0.1,0.05,-0.00506023608850877
"27",0.6,0.001,0.5,1e-05,1e-05,0.1,0.01,0.1,0.01,0.1,0.01,0.1,0.01,-0.00100825273035591
"28",0.6,0.001,0.5,1e-05,1e-05,0.1,0.05,0.1,0.05,0.1,0.05,0.1,0.05,-0.00505415022660032
"29",0.7,0.5,0.5,1e-05,1e-05,0.1,0.01,0.1,0.01,0.1,0.01,0.1,0.01,-0.00100918924639526
"30",0.7,0.5,0.5,1e-05,1e-05,0.1,0.05,0.1,0.05,0.1,0.05,0.1,0.05,-0.0050837886213937
"31",0.7,0.001,0.5,1e-05,1e-05,0.1,0.01,0.1,0.01,0.1,0.01,0.1,0.01,-0.00100694258764801
"32",0.7,0.001,0.5,1e-05,1e-05,0.1,0.05,0.1,0.05,0.1,0.05,0.1,0.05,-0.00507707048962519
"33",0.8,0.5,0.5,1e-05,1e-05,0.1,0.01,0.1,0.01,0.1,0.01,0.1,0.01,-0.00101010337063722
"34",0.8,0.5,0.5,1e-05,1e-05,0.1,0.05,0.1,0.05,0.1,0.05,0.1,0.05,-0.00513134025808152
"35",0.8,0.001,0.5,1e-05,1e-05,0.1,0.01,0.1,0.01,0.1,0.01,0.1,0.01,-0.00100760861154554
"36",0.8,0.001,0.5,1e-05,1e-05,0.1,0.05,0.1,0.05,0.1,0.05,0.1,0.05,-0.00512408858654895
"37",0.9,0.5,0.5,1e-05,1e-05,0.1,0.01,0.1,0.01,0.1,0.01,0.1,0.01,-0.00101689015188567
"38",0.9,0.5,0.5,1e-05,1e-05,0.1,0.05,0.1,0.05,0.1,0.05,0.1,0.05,-0.00524678538788337
"39",0.9,0.001,0.5,1e-05,1e-05,0.1,0.01,0.1,0.01,0.1,0.01,0.1,0.01,-0.00101391233090868
"40",0.9,0.001,0.5,1e-05,1e-05,0.1,0.05,0.1,0.05,0.1,0.05,0.1,0.05,-0.00523859306276545
