"","beta","q","r","u","v","hfA","sfA","hmA","smA","hfB","sfB","hmB","smB","invSelAdv"
"1",0,0.5,0,1e-05,1e-05,0.25,0.01,0.25,0.01,0.25,0.01,0.25,0.01,-0.0025073623818176
"2",0.1,0.5,0,1e-05,1e-05,0.25,0.01,0.25,0.01,0.25,0.01,0.25,0.01,-0.00250724458992045
"3",0.2,0.5,0,1e-05,1e-05,0.25,0.01,0.25,0.01,0.25,0.01,0.25,0.01,-0.00250701697383099
"4",0.3,0.5,0,1e-05,1e-05,0.25,0.01,0.25,0.01,0.25,0.01,0.25,0.01,-0.0025070395344553
"5",0.4,0.5,0,1e-05,1e-05,0.25,0.01,0.25,0.01,0.25,0.01,0.25,0.01,-0.00250739889744542
"6",0.5,0.5,0,1e-05,1e-05,0.25,0.01,0.25,0.01,0.25,0.01,0.25,0.01,-0.00250825379655267
"7",0.6,0.5,0,1e-05,1e-05,0.25,0.01,0.25,0.01,0.25,0.01,0.25,0.01,-0.00250992746408731
"8",0.7,0.5,0,1e-05,1e-05,0.25,0.01,0.25,0.01,0.25,0.01,0.25,0.01,-0.00251317947409929
"9",0.8,0.5,0,1e-05,1e-05,0.25,0.01,0.25,0.01,0.25,0.01,0.25,0.01,-0.0025202507736618
"10",0.9,0.5,0,1e-05,1e-05,0.25,0.01,0.25,0.01,0.25,0.01,0.25,0.01,-0.00254116333033537
