"","beta","q","r","u","v","hfA","sfA","hmA","smA","hfB","sfB","hmB","smB","invSelAdv"
"1",0,0.5,0,1e-05,1e-05,0,0.01,0,0.01,0,0.01,0,0.01,-0.000258173092234633
"2",0.1,0.5,0,1e-05,1e-05,0,0.01,0,0.01,0,0.01,0,0.01,-0.000162010950671335
"3",0.2,0.5,0,1e-05,1e-05,0,0.01,0,0.01,0,0.01,0,0.01,-9.14558841616303e-05
"4",0.3,0.5,0,1e-05,1e-05,0,0.01,0,0.01,0,0.01,0,0.01,-5.26081379341699e-05
"5",0.4,0.5,0,1e-05,1e-05,0,0.01,0,0.01,0,0.01,0,0.01,-3.0833786209382e-05
"6",0.5,0.5,0,1e-05,1e-05,0,0.01,0,0.01,0,0.01,0,0.01,-1.79160323041609e-05
"7",0.6,0.5,0,1e-05,1e-05,0,0.01,0,0.01,0,0.01,0,0.01,-9.9364551433514e-06
"8",0.7,0.5,0,1e-05,1e-05,0,0.01,0,0.01,0,0.01,0,0.01,-5.05512468301242e-06
"9",0.8,0.5,0,1e-05,1e-05,0,0.01,0,0.01,0,0.01,0,0.01,-2.6091936122814e-06
"10",0.9,0.5,0,1e-05,1e-05,0,0.01,0,0.01,0,0.01,0,0.01,-3.7614780881743e-06
