"","beta","q","r","u","v","hfA","sfA","hmA","smA","hfB","sfB","hmB","smB","invSelAdv"
"1",0,0.5,0.5,1e-05,1e-05,0.25,0.01,0.25,0.01,0.25,0.01,0.25,0.01,-0.00250736239254302
"2",0.1,0.5,0.5,1e-05,1e-05,0.25,0.01,0.25,0.01,0.25,0.01,0.25,0.01,-0.00250724404257215
"3",0.2,0.5,0.5,1e-05,1e-05,0.25,0.01,0.25,0.01,0.25,0.01,0.25,0.01,-0.00250701629142957
"4",0.3,0.5,0.5,1e-05,1e-05,0.25,0.01,0.25,0.01,0.25,0.01,0.25,0.01,-0.00250703860970775
"5",0.4,0.5,0.5,1e-05,1e-05,0.25,0.01,0.25,0.01,0.25,0.01,0.25,0.01,-0.00250739807611089
"6",0.5,0.5,0.5,1e-05,1e-05,0.25,0.01,0.25,0.01,0.25,0.01,0.25,0.01,-0.00250825378718521
"7",0.6,0.5,0.5,1e-05,1e-05,0.25,0.01,0.25,0.01,0.25,0.01,0.25,0.01,-0.00250992775516791
"8",0.7,0.5,0.5,1e-05,1e-05,0.25,0.01,0.25,0.01,0.25,0.01,0.25,0.01,-0.00251317890552437
"9",0.8,0.5,0.5,1e-05,1e-05,0.25,0.01,0.25,0.01,0.25,0.01,0.25,0.01,-0.00252025137183817
"10",0.9,0.5,0.5,1e-05,1e-05,0.25,0.01,0.25,0.01,0.25,0.01,0.25,0.01,-0.00254116336715242
