"","beta","q","r","u","v","hfA","sfA","hmA","smA","hfB","sfB","hmB","smB","invSelAdv"
"1",0,0.5,0.5,1e-05,1e-05,0,0.01,0,0.01,0,0.01,0,0.01,-0.000258173661950076
"2",0.1,0.5,0.5,1e-05,1e-05,0,0.01,0,0.01,0,0.01,0,0.01,-0.000162011458200605
"3",0.2,0.5,0.5,1e-05,1e-05,0,0.01,0,0.01,0,0.01,0,0.01,-9.1456511444401e-05
"4",0.3,0.5,0.5,1e-05,1e-05,0,0.01,0,0.01,0,0.01,0,0.01,-5.26076798039344e-05
"5",0.4,0.5,0.5,1e-05,1e-05,0,0.01,0,0.01,0,0.01,0,0.01,-3.08319269477034e-05
"6",0.5,0.5,0.5,1e-05,1e-05,0,0.01,0,0.01,0,0.01,0,0.01,-1.79157319882081e-05
"7",0.6,0.5,0.5,1e-05,1e-05,0,0.01,0,0.01,0,0.01,0,0.01,-9.93636407609817e-06
"8",0.7,0.5,0.5,1e-05,1e-05,0,0.01,0,0.01,0,0.01,0,0.01,-5.05511244527281e-06
"9",0.8,0.5,0.5,1e-05,1e-05,0,0.01,0,0.01,0,0.01,0,0.01,-2.60919495890344e-06
"10",0.9,0.5,0.5,1e-05,1e-05,0,0.01,0,0.01,0,0.01,0,0.01,-3.76148678363895e-06
