"","beta","q","r","u","v","hfA","sfA","hmA","smA","hfB","sfB","hmB","smB","invSelAdv"
"1",0,0.5,0.5,1e-05,1e-05,0.25,0.01,0.25,0.01,0.25,0.01,0.25,0.01,-0.00250736239254302
"2",0,0.5,0.5,1e-05,1e-05,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-0.000323046009876276
"3",0,0.5,0.001,1e-05,1e-05,0.25,0.01,0.25,0.01,0.25,0.01,0.25,0.01,-0.00250736238213138
"4",0,0.5,0.001,1e-05,1e-05,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-0.000322990647483632
"5",0,0.001,0.5,1e-05,1e-05,0.25,0.01,0.25,0.01,0.25,0.01,0.25,0.01,-0.00250576305516194
"6",0,0.001,0.5,1e-05,1e-05,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-0.000322687975338102
"7",0,0.001,0.001,1e-05,1e-05,0.25,0.01,0.25,0.01,0.25,0.01,0.25,0.01,-0.00250439048859433
"8",0,0.001,0.001,1e-05,1e-05,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-0.000318178207763549
"9",0.1,0.5,0.5,1e-05,1e-05,0.25,0.01,0.25,0.01,0.25,0.01,0.25,0.01,-0.00250724404257215
"10",0.1,0.5,0.5,1e-05,1e-05,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-0.00023512758222405
"11",0.1,0.5,0.001,1e-05,1e-05,0.25,0.01,0.25,0.01,0.25,0.01,0.25,0.01,-0.00250724458680559
"12",0.1,0.5,0.001,1e-05,1e-05,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-0.000235131574578855
"13",0.1,0.001,0.5,1e-05,1e-05,0.25,0.01,0.25,0.01,0.25,0.01,0.25,0.01,-0.00250510151682982
"14",0.1,0.001,0.5,1e-05,1e-05,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-0.000238231263278208
"15",0.1,0.001,0.001,1e-05,1e-05,0.25,0.01,0.25,0.01,0.25,0.01,0.25,0.01,-0.00250391868058756
"16",0.1,0.001,0.001,1e-05,1e-05,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-0.000273366448420145
"17",0.2,0.5,0.5,1e-05,1e-05,0.25,0.01,0.25,0.01,0.25,0.01,0.25,0.01,-0.00250701629142957
"18",0.2,0.5,0.5,1e-05,1e-05,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-0.0001796454183601
"19",0.2,0.5,0.001,1e-05,1e-05,0.25,0.01,0.25,0.01,0.25,0.01,0.25,0.01,-0.0025070169690176
"20",0.2,0.5,0.001,1e-05,1e-05,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-0.000179647157091286
"21",0.2,0.001,0.5,1e-05,1e-05,0.25,0.01,0.25,0.01,0.25,0.01,0.25,0.01,-0.00250434989273253
"22",0.2,0.001,0.5,1e-05,1e-05,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-0.000183074820371998
"23",0.2,0.001,0.001,1e-05,1e-05,0.25,0.01,0.25,0.01,0.25,0.01,0.25,0.01,-0.00250353090547305
"24",0.2,0.001,0.001,1e-05,1e-05,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-0.00023104573381853
"25",0.3,0.5,0.5,1e-05,1e-05,0.25,0.01,0.25,0.01,0.25,0.01,0.25,0.01,-0.00250703860970775
"26",0.3,0.5,0.5,1e-05,1e-05,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-0.000148079816591485
"27",0.3,0.5,0.001,1e-05,1e-05,0.25,0.01,0.25,0.01,0.25,0.01,0.25,0.01,-0.00250703952896205
"28",0.3,0.5,0.001,1e-05,1e-05,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-0.000148082319052946
"29",0.3,0.001,0.5,1e-05,1e-05,0.25,0.01,0.25,0.01,0.25,0.01,0.25,0.01,-0.00250386530093681
"30",0.3,0.001,0.5,1e-05,1e-05,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-0.000151655678352926
"31",0.3,0.001,0.001,1e-05,1e-05,0.25,0.01,0.25,0.01,0.25,0.01,0.25,0.01,-0.00250327634038406
"32",0.3,0.001,0.001,1e-05,1e-05,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-0.000197723714708529
"33",0.4,0.5,0.5,1e-05,1e-05,0.25,0.01,0.25,0.01,0.25,0.01,0.25,0.01,-0.00250739807611089
"34",0.4,0.5,0.5,1e-05,1e-05,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-0.00012959322914439
"35",0.4,0.5,0.001,1e-05,1e-05,0.25,0.01,0.25,0.01,0.25,0.01,0.25,0.01,-0.00250739889176929
"36",0.4,0.5,0.001,1e-05,1e-05,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-0.00012959487127955
"37",0.4,0.001,0.5,1e-05,1e-05,0.25,0.01,0.25,0.01,0.25,0.01,0.25,0.01,-0.00250372817579111
"38",0.4,0.001,0.5,1e-05,1e-05,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-0.000133264429886126
"39",0.4,0.001,0.001,1e-05,1e-05,0.25,0.01,0.25,0.01,0.25,0.01,0.25,0.01,-0.00250324015056593
"40",0.4,0.001,0.001,1e-05,1e-05,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-0.000172388520644341
"41",0.5,0.5,0.5,1e-05,1e-05,0.25,0.01,0.25,0.01,0.25,0.01,0.25,0.01,-0.00250825378718521
"42",0.5,0.5,0.5,1e-05,1e-05,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-0.000118239687985375
"43",0.5,0.5,0.001,1e-05,1e-05,0.25,0.01,0.25,0.01,0.25,0.01,0.25,0.01,-0.00250825379087616
"44",0.5,0.5,0.001,1e-05,1e-05,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-0.000118239957327288
"45",0.5,0.001,0.5,1e-05,1e-05,0.25,0.01,0.25,0.01,0.25,0.01,0.25,0.01,-0.002504096208056
"46",0.5,0.001,0.5,1e-05,1e-05,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-0.000121893033860914
"47",0.5,0.001,0.001,1e-05,1e-05,0.25,0.01,0.25,0.01,0.25,0.01,0.25,0.01,-0.00250357904986587
"48",0.5,0.001,0.001,1e-05,1e-05,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-0.000153450545732165
"49",0.6,0.5,0.5,1e-05,1e-05,0.25,0.01,0.25,0.01,0.25,0.01,0.25,0.01,-0.00250992775516791
"50",0.6,0.5,0.5,1e-05,1e-05,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-0.000111059223560546
"51",0.6,0.5,0.001,1e-05,1e-05,0.25,0.01,0.25,0.01,0.25,0.01,0.25,0.01,-0.00250992745818096
"52",0.6,0.5,0.001,1e-05,1e-05,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-0.00011105967242026
"53",0.6,0.001,0.5,1e-05,1e-05,0.25,0.01,0.25,0.01,0.25,0.01,0.25,0.01,-0.0025052862190484
"54",0.6,0.001,0.5,1e-05,1e-05,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-0.00011457425404902
"55",0.6,0.001,0.001,1e-05,1e-05,0.25,0.01,0.25,0.01,0.25,0.01,0.25,0.01,-0.00250460870739794
"56",0.6,0.001,0.001,1e-05,1e-05,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-0.000139297340197758
"57",0.7,0.5,0.5,1e-05,1e-05,0.25,0.01,0.25,0.01,0.25,0.01,0.25,0.01,-0.00251317890552437
"58",0.7,0.5,0.5,1e-05,1e-05,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-0.000106613388429154
"59",0.7,0.5,0.001,1e-05,1e-05,0.25,0.01,0.25,0.01,0.25,0.01,0.25,0.01,-0.00251317946730597
"60",0.7,0.5,0.001,1e-05,1e-05,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-0.000106613549184602
"61",0.7,0.001,0.5,1e-05,1e-05,0.25,0.01,0.25,0.01,0.25,0.01,0.25,0.01,-0.00250806419747988
"62",0.7,0.001,0.5,1e-05,1e-05,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-0.000109866525804298
"63",0.7,0.001,0.001,1e-05,1e-05,0.25,0.01,0.25,0.01,0.25,0.01,0.25,0.01,-0.00250707131810893
"64",0.7,0.001,0.001,1e-05,1e-05,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-0.000128680426470896
"65",0.8,0.5,0.5,1e-05,1e-05,0.25,0.01,0.25,0.01,0.25,0.01,0.25,0.01,-0.00252025137183817
"66",0.8,0.5,0.5,1e-05,1e-05,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-0.000104419046822729
"67",0.8,0.5,0.001,1e-05,1e-05,0.25,0.01,0.25,0.01,0.25,0.01,0.25,0.01,-0.00252025076417812
"68",0.8,0.5,0.001,1e-05,1e-05,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-0.000104419096238467
"69",0.8,0.001,0.5,1e-05,1e-05,0.25,0.01,0.25,0.01,0.25,0.01,0.25,0.01,-0.002514650788065
"70",0.8,0.001,0.5,1e-05,1e-05,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-0.000107258753568801
"71",0.8,0.001,0.001,1e-05,1e-05,0.25,0.01,0.25,0.01,0.25,0.01,0.25,0.01,-0.00251317219859136
"72",0.8,0.001,0.001,1e-05,1e-05,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-0.000120832312827837
"73",0.9,0.5,0.5,1e-05,1e-05,0.25,0.01,0.25,0.01,0.25,0.01,0.25,0.01,-0.00254116336715242
"74",0.9,0.5,0.5,1e-05,1e-05,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-0.0001057298050195
"75",0.9,0.5,0.001,1e-05,1e-05,0.25,0.01,0.25,0.01,0.25,0.01,0.25,0.01,-0.00254116332554175
"76",0.9,0.5,0.001,1e-05,1e-05,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-0.000105729796333491
"77",0.9,0.001,0.5,1e-05,1e-05,0.25,0.01,0.25,0.01,0.25,0.01,0.25,0.01,-0.00253487621712593
