"","beta","q","r","u","v","hfA","sfA","hmA","smA","hfB","sfB","hmB","smB","invSelAdv"
"1",0,0.5,0.5,1e-05,1e-05,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-0.000323046009876276
"2",0,0.5,0.5,1e-05,1e-05,0.01,0.05,0.01,0.05,0.01,0.05,0.01,0.05,-0.000908101264839041
"3",0,0.5,0.5,1e-05,1e-05,0.25,0.01,0.25,0.01,0.25,0.01,0.25,0.01,-0.00250736239254302
"4",0,0.5,0.5,1e-05,1e-05,0.25,0.05,0.25,0.05,0.25,0.05,0.25,0.05,-0.0125755204305968
"5",0,0.1,0.5,1e-05,1e-05,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-0.000323042125941837
"6",0,0.1,0.5,1e-05,1e-05,0.01,0.05,0.01,0.05,0.01,0.05,0.01,0.05,-0.000908088747695882
"7",0,0.1,0.5,1e-05,1e-05,0.25,0.01,0.25,0.01,0.25,0.01,0.25,0.01,-0.00250732596870284
"8",0,0.1,0.5,1e-05,1e-05,0.25,0.05,0.25,0.05,0.25,0.05,0.25,0.05,-0.0125753486840529
"9",0,0.01,0.5,1e-05,1e-05,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-0.000322999800237756
"10",0,0.01,0.5,1e-05,1e-05,0.01,0.05,0.01,0.05,0.01,0.05,0.01,0.05,-0.000907954126712491
"11",0,0.01,0.5,1e-05,1e-05,0.25,0.01,0.25,0.01,0.25,0.01,0.25,0.01,-0.00250697980940645
"12",0,0.01,0.5,1e-05,1e-05,0.25,0.05,0.25,0.05,0.25,0.05,0.25,0.05,-0.0125743396123532
"13",0,0.001,0.5,1e-05,1e-05,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-0.000322687975338102
"14",0,0.001,0.5,1e-05,1e-05,0.01,0.05,0.01,0.05,0.01,0.05,0.01,0.05,-0.000907103872421751
"15",0,0.001,0.5,1e-05,1e-05,0.25,0.01,0.25,0.01,0.25,0.01,0.25,0.01,-0.00250576305516194
"16",0,0.001,0.5,1e-05,1e-05,0.25,0.05,0.25,0.05,0.25,0.05,0.25,0.05,-0.0125732911922297
"17",0.1,0.5,0.5,1e-05,1e-05,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-0.00023512758222405
"18",0.1,0.5,0.5,1e-05,1e-05,0.01,0.05,0.01,0.05,0.01,0.05,0.01,0.05,-0.000668441565036329
"19",0.1,0.5,0.5,1e-05,1e-05,0.25,0.01,0.25,0.01,0.25,0.01,0.25,0.01,-0.00250724404257215
"20",0.1,0.5,0.5,1e-05,1e-05,0.25,0.05,0.25,0.05,0.25,0.05,0.25,0.05,-0.0125830176884303
"21",0.1,0.1,0.5,1e-05,1e-05,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-0.00023703613609047
"22",0.1,0.1,0.5,1e-05,1e-05,0.01,0.05,0.01,0.05,0.01,0.05,0.01,0.05,-0.000669523477949
"23",0.1,0.1,0.5,1e-05,1e-05,0.25,0.01,0.25,0.01,0.25,0.01,0.25,0.01,-0.00250707647067549
"24",0.1,0.1,0.5,1e-05,1e-05,0.25,0.05,0.25,0.05,0.25,0.05,0.25,0.05,-0.0125826603353006
"25",0.1,0.01,0.5,1e-05,1e-05,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-0.000238666634007801
"26",0.1,0.01,0.5,1e-05,1e-05,0.01,0.05,0.01,0.05,0.01,0.05,0.01,0.05,-0.000670720779481005
"27",0.1,0.01,0.5,1e-05,1e-05,0.25,0.01,0.25,0.01,0.25,0.01,0.25,0.01,-0.00250661761763683
"28",0.1,0.01,0.5,1e-05,1e-05,0.25,0.05,0.25,0.05,0.25,0.05,0.25,0.05,-0.0125813664916177
"29",0.1,0.001,0.5,1e-05,1e-05,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-0.000238231263278208
"30",0.1,0.001,0.5,1e-05,1e-05,0.01,0.05,0.01,0.05,0.01,0.05,0.01,0.05,-0.000668875829256861
"31",0.1,0.001,0.5,1e-05,1e-05,0.25,0.01,0.25,0.01,0.25,0.01,0.25,0.01,-0.00250510151682982
"32",0.1,0.001,0.5,1e-05,1e-05,0.25,0.05,0.25,0.05,0.25,0.05,0.25,0.05,-0.0125799865904445
"33",0.2,0.5,0.5,1e-05,1e-05,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-0.0001796454183601
"34",0.2,0.5,0.5,1e-05,1e-05,0.01,0.05,0.01,0.05,0.01,0.05,0.01,0.05,-0.000588478385425402
"35",0.2,0.5,0.5,1e-05,1e-05,0.25,0.01,0.25,0.01,0.25,0.01,0.25,0.01,-0.00250701629142957
"36",0.2,0.5,0.5,1e-05,1e-05,0.25,0.05,0.25,0.05,0.25,0.05,0.25,0.05,-0.0125932899131194
"37",0.2,0.1,0.5,1e-05,1e-05,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-0.000181475422090281
"38",0.2,0.1,0.5,1e-05,1e-05,0.01,0.05,0.01,0.05,0.01,0.05,0.01,0.05,-0.000589986165856918
"39",0.2,0.1,0.5,1e-05,1e-05,0.25,0.01,0.25,0.01,0.25,0.01,0.25,0.01,-0.00250676133742133
"40",0.2,0.1,0.5,1e-05,1e-05,0.25,0.05,0.25,0.05,0.25,0.05,0.25,0.05,-0.012592791460175
"41",0.2,0.01,0.5,1e-05,1e-05,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-0.000183628101601081
"42",0.2,0.01,0.5,1e-05,1e-05,0.01,0.05,0.01,0.05,0.01,0.05,0.01,0.05,-0.000591890922878951
