"","beta","q","r","u","v","hfA","sfA","hmA","smA","hfB","sfB","hmB","smB","invSelAdv"
"1",0,0.5,0.5,1e-05,1e-05,0.1,0.02,0.1,0.02,0.1,0.01,0.1,0.01,-0.00105356225795817
"2",0.1,0.5,0.5,1e-05,1e-05,0.1,0.02,0.1,0.02,0.1,0.01,0.1,0.01,-0.00104094104457073
"3",0.2,0.5,0.5,1e-05,1e-05,0.1,0.02,0.1,0.02,0.1,0.01,0.1,0.01,-0.00103135783412578
"4",0.3,0.5,0.5,1e-05,1e-05,0.1,0.02,0.1,0.02,0.1,0.01,0.1,0.01,-0.0010241710383893
"5",0.4,0.5,0.5,1e-05,1e-05,0.1,0.02,0.1,0.02,0.1,0.01,0.1,0.01,-0.00101887610175699
"6",0.5,0.5,0.5,1e-05,1e-05,0.1,0.02,0.1,0.02,0.1,0.01,0.1,0.01,-0.00101512992372494
"7",0.6,0.5,0.5,1e-05,1e-05,0.1,0.02,0.1,0.02,0.1,0.01,0.1,0.01,-0.00101278316278483
"8",0.7,0.5,0.5,1e-05,1e-05,0.1,0.02,0.1,0.02,0.1,0.01,0.1,0.01,-0.00101199037934907
"9",0.8,0.5,0.5,1e-05,1e-05,0.1,0.02,0.1,0.02,0.1,0.01,0.1,0.01,-0.0010137329082658
"10",0.9,0.5,0.5,1e-05,1e-05,0.1,0.02,0.1,0.02,0.1,0.01,0.1,0.01,-0.00102302235569557
