"","beta","q","r","u","v","hfA","sfA","hmA","smA","hfB","sfB","hmB","smB","invSelAdv"
"1",0,0.5,0.5,1e-05,1e-05,0,0.01,0,0.01,0,0.01,0,0.01,-0.000258173661950076
"2",0,0.5,0.5,1e-05,1e-05,0,0.05,0,0.05,0,0.05,0,0.05,-0.000614656414427682
"3",0,0.5,0.5,1e-05,1e-05,0.1,0.01,0.1,0.01,0.1,0.01,0.1,0.01,-0.00105017469682636
"4",0,0.5,0.5,1e-05,1e-05,0.1,0.05,0.1,0.05,0.1,0.05,0.1,0.05,-0.00505918002142316
"5",0,0.1,0.5,1e-05,1e-05,0,0.01,0,0.01,0,0.01,0,0.01,-0.000258170738841865
"6",0,0.1,0.5,1e-05,1e-05,0,0.05,0,0.05,0,0.05,0,0.05,-0.00061464876831256
"7",0,0.1,0.5,1e-05,1e-05,0.1,0.01,0.1,0.01,0.1,0.01,0.1,0.01,-0.00105016052842121
"8",0,0.1,0.5,1e-05,1e-05,0.1,0.05,0.1,0.05,0.1,0.05,0.1,0.05,-0.00505910735888752
"9",0,0.01,0.5,1e-05,1e-05,0,0.01,0,0.01,0,0.01,0,0.01,-0.000258124513481821
"10",0,0.01,0.5,1e-05,1e-05,0,0.05,0,0.05,0,0.05,0,0.05,-0.000614564711325278
"11",0,0.01,0.5,1e-05,1e-05,0.1,0.01,0.1,0.01,0.1,0.01,0.1,0.01,-0.00105000337206658
"12",0,0.01,0.5,1e-05,1e-05,0.1,0.05,0.1,0.05,0.1,0.05,0.1,0.05,-0.00505851041934721
"13",0,0.001,0.5,1e-05,1e-05,0,0.01,0,0.01,0,0.01,0,0.01,-0.00025795337405715
"14",0,0.001,0.5,1e-05,1e-05,0,0.05,0,0.05,0,0.05,0,0.05,-0.000613947585760977
"15",0,0.001,0.5,1e-05,1e-05,0.1,0.01,0.1,0.01,0.1,0.01,0.1,0.01,-0.00104911528397389
"16",0,0.001,0.5,1e-05,1e-05,0.1,0.05,0.1,0.05,0.1,0.05,0.1,0.05,-0.00505722348475112
"17",0.1,0.5,0.5,1e-05,1e-05,0,0.01,0,0.01,0,0.01,0,0.01,-0.000162011458200605
"18",0.1,0.5,0.5,1e-05,1e-05,0,0.05,0,0.05,0,0.05,0,0.05,-0.00021956151292257
"19",0.1,0.5,0.5,1e-05,1e-05,0.1,0.01,0.1,0.01,0.1,0.01,0.1,0.01,-0.00103788850056672
"20",0.1,0.5,0.5,1e-05,1e-05,0.1,0.05,0.1,0.05,0.1,0.05,0.1,0.05,-0.00504875923598341
"21",0.1,0.1,0.5,1e-05,1e-05,0,0.01,0,0.01,0,0.01,0,0.01,-0.000165113448823854
