"h","s","N","U","Ufac","x","PrFix"
0.25,0.01,1000,0.02,2,0.05,0.00048
0.25,0.01,1000,0.02,2,0.1,0.000418
0.25,0.01,1000,0.02,2,0.2,0.000336
0.25,0.01,1000,0.02,2,0.3,0.000262
0.25,0.01,1000,0.02,2,0.4,0.00019
0.25,0.01,1000,0.02,2,0.5,0.000144
0.25,0.01,1000,0.02,2,0.6,0.000114
0.25,0.01,1000,0.02,2,0.7,6.8e-05
0.25,0.01,1000,0.02,2,0.8,3.8e-05
0.25,0.01,1000,0.02,2,0.9,1e-05
0.25,0.01,1000,0.05,5,0.05,0.000382
0.25,0.01,1000,0.05,5,0.1,0.000302
0.25,0.01,1000,0.05,5,0.2,0.00016
0.25,0.01,1000,0.05,5,0.3,3.2e-05
0.25,0.01,1000,0.05,5,0.4,6e-06
0.25,0.01,1000,0.05,5,0.5,4e-06
0.25,0.01,1000,0.05,5,0.6,2e-06
0.25,0.01,1000,0.05,5,0.7,0
0.25,0.01,1000,0.05,5,0.8,0
0.25,0.01,1000,0.05,5,0.9,0
0.25,0.01,1000,0.1,10,0.05,0.00032
0.25,0.01,1000,0.1,10,0.1,0.000126
0.25,0.01,1000,0.1,10,0.2,1e-05
0.25,0.01,1000,0.1,10,0.3,2e-06
0.25,0.01,1000,0.1,10,0.4,0
0.25,0.01,1000,0.1,10,0.5,0
0.25,0.01,1000,0.1,10,0.6,0
0.25,0.01,1000,0.1,10,0.7,0
0.25,0.01,1000,0.1,10,0.8,0
0.25,0.01,1000,0.1,10,0.9,0
0.25,0.01,10000,0.02,2,0.05,5.22e-05
0.25,0.01,10000,0.02,2,0.1,4.92e-05
0.25,0.01,10000,0.02,2,0.2,4.48e-05
0.25,0.01,10000,0.02,2,0.3,4.58e-05
0.25,0.01,10000,0.02,2,0.4,4.36e-05
0.25,0.01,10000,0.02,2,0.5,3.9e-05
0.25,0.01,10000,0.02,2,0.6,2.92e-05
0.25,0.01,10000,0.02,2,0.7,2.7e-05
0.25,0.01,10000,0.02,2,0.8,1.78e-05
0.25,0.01,10000,0.02,2,0.9,1.3e-05
0.25,0.01,10000,0.05,5,0.05,4.64e-05
0.25,0.01,10000,0.05,5,0.1,4.7e-05
0.25,0.01,10000,0.05,5,0.2,3.8e-05
0.25,0.01,10000,0.05,5,0.3,1.86e-05
0.25,0.01,10000,0.05,5,0.4,8.4e-06
0.25,0.01,10000,0.05,5,0.5,1.8e-06
0.25,0.01,10000,0.05,5,0.6,0
0.25,0.01,10000,0.05,5,0.7,2e-07
0.25,0.01,10000,0.05,5,0.8,0
0.25,0.01,10000,0.05,5,0.9,0
0.25,0.01,10000,0.1,10,0.05,4.26e-05
0.25,0.01,10000,0.1,10,0.1,3.98e-05
0.25,0.01,10000,0.1,10,0.2,6.4e-06
0.25,0.01,10000,0.1,10,0.3,6e-07
0.25,0.01,10000,0.1,10,0.4,0
0.25,0.01,10000,0.1,10,0.5,0
0.25,0.01,10000,0.1,10,0.6,0
0.25,0.01,10000,0.1,10,0.7,0
0.25,0.01,10000,0.1,10,0.8,0
0.25,0.01,10000,0.1,10,0.9,0
