"h","s","N","U","Ufac","x","PrFix"
0.5,0.01,100,0.02,2,0.05,0.00555
0.5,0.01,100,0.02,2,0.1,0.0054
0.5,0.01,100,0.02,2,0.2,0.0052
0.5,0.01,100,0.02,2,0.3,0.0069
0.5,0.01,100,0.02,2,0.4,0.0056
0.5,0.01,100,0.02,2,0.5,0.00705
0.5,0.01,100,0.02,2,0.6,0.007
0.5,0.01,100,0.02,2,0.7,0.00755
0.5,0.01,100,0.02,2,0.8,0.00665
0.5,0.01,100,0.02,2,0.9,0.0071
0.5,0.01,100,0.05,5,0.05,0.0056
0.5,0.01,100,0.05,5,0.1,0.00675
0.5,0.01,100,0.05,5,0.2,0.007
0.5,0.01,100,0.05,5,0.3,0.00635
0.5,0.01,100,0.05,5,0.4,0.0079
0.5,0.01,100,0.05,5,0.5,0.0075
0.5,0.01,100,0.05,5,0.6,0.00785
0.5,0.01,100,0.05,5,0.7,0.0079
0.5,0.01,100,0.05,5,0.8,0.00755
0.5,0.01,100,0.05,5,0.9,0.00905
0.5,0.01,100,0.1,10,0.05,0.0058
0.5,0.01,100,0.1,10,0.1,0.00625
0.5,0.01,100,0.1,10,0.2,0.00645
0.5,0.01,100,0.1,10,0.3,0.00875
0.5,0.01,100,0.1,10,0.4,0.00745
0.5,0.01,100,0.1,10,0.5,0.008
0.5,0.01,100,0.1,10,0.6,0.0073
0.5,0.01,100,0.1,10,0.7,0.00775
0.5,0.01,100,0.1,10,0.8,0.00905
0.5,0.01,100,0.1,10,0.9,0.0089
0.5,0.01,1000,0.02,2,0.05,0.00113
0.5,0.01,1000,0.02,2,0.1,0.001555
0.5,0.01,1000,0.02,2,0.2,0.00183
0.5,0.01,1000,0.02,2,0.3,0.00189
0.5,0.01,1000,0.02,2,0.4,0.00193
0.5,0.01,1000,0.02,2,0.5,0.001715
0.5,0.01,1000,0.02,2,0.6,0.001755
0.5,0.01,1000,0.02,2,0.7,0.00183
0.5,0.01,1000,0.02,2,0.8,0.00186
0.5,0.01,1000,0.02,2,0.9,0.00171
0.5,0.01,1000,0.05,5,0.05,0.001705
0.5,0.01,1000,0.05,5,0.1,0.001665
0.5,0.01,1000,0.05,5,0.2,0.00171
0.5,0.01,1000,0.05,5,0.3,0.00182
0.5,0.01,1000,0.05,5,0.4,0.00175
0.5,0.01,1000,0.05,5,0.5,0.001565
0.5,0.01,1000,0.05,5,0.6,0.00159
0.5,0.01,1000,0.05,5,0.7,0.00141
0.5,0.01,1000,0.05,5,0.8,0.001365
0.5,0.01,1000,0.05,5,0.9,0.001485
0.5,0.01,1000,0.1,10,0.05,0.001885
0.5,0.01,1000,0.1,10,0.1,0.001985
0.5,0.01,1000,0.1,10,0.2,0.001725
0.5,0.01,1000,0.1,10,0.3,0.001595
0.5,0.01,1000,0.1,10,0.4,0.001515
0.5,0.01,1000,0.1,10,0.5,0.001455
0.5,0.01,1000,0.1,10,0.6,0.00124
0.5,0.01,1000,0.1,10,0.7,0.00132
0.5,0.01,1000,0.1,10,0.8,0.00133
0.5,0.01,1000,0.1,10,0.9,0.001235
0.5,0.01,10000,0.02,2,0.05,0.0003595
0.5,0.01,10000,0.02,2,0.1,0.000502
0.5,0.01,10000,0.02,2,0.2,0.0007075
0.5,0.01,10000,0.02,2,0.3,0.000797
0.5,0.01,10000,0.02,2,0.4,0.000859
0.5,0.01,10000,0.02,2,0.5,0.000816
0.5,0.01,10000,0.02,2,0.6,0.0007935
0.5,0.01,10000,0.02,2,0.7,0.0007055
0.5,0.01,10000,0.02,2,0.8,0.000627
0.5,0.01,10000,0.02,2,0.9,0.000506
0.5,0.01,10000,0.05,5,0.05,0.0005495
0.5,0.01,10000,0.05,5,0.1,0.000735
0.5,0.01,10000,0.05,5,0.2,0.0008075
0.5,0.01,10000,0.05,5,0.3,0.00073
0.5,0.01,10000,0.05,5,0.4,0.0004835
0.5,0.01,10000,0.05,5,0.5,0.000342
0.5,0.01,10000,0.05,5,0.6,0.0002915
0.5,0.01,10000,0.05,5,0.7,0.0002475
0.5,0.01,10000,0.05,5,0.8,0.0002285
0.5,0.01,10000,0.05,5,0.9,0.000209
0.5,0.01,10000,0.1,10,0.05,0.000723
0.5,0.01,10000,0.1,10,0.1,0.0008245
0.5,0.01,10000,0.1,10,0.2,0.0004365
0.5,0.01,10000,0.1,10,0.3,0.0002935
0.5,0.01,10000,0.1,10,0.4,0.0002415
0.5,0.01,10000,0.1,10,0.5,0.0002105
0.5,0.01,10000,0.1,10,0.6,0.000173
0.5,0.01,10000,0.1,10,0.7,0.00018
0.5,0.01,10000,0.1,10,0.8,0.000167
0.5,0.01,10000,0.1,10,0.9,0.0001755
