"h","s","N","U","Ufac","x","PrFix"
0.1,0.01,10000,0.02,2,0.05,0.000106
0.1,0.01,10000,0.02,2,0.1,7.8e-05
0.1,0.01,10000,0.02,2,0.2,3.6e-05
0.1,0.01,10000,0.02,2,0.3,3.8e-05
0.1,0.01,10000,0.02,2,0.4,3.6e-05
0.1,0.01,10000,0.02,2,0.5,2.6e-05
0.1,0.01,10000,0.02,2,0.6,2.2e-05
0.1,0.01,10000,0.02,2,0.7,3.6e-05
0.1,0.01,10000,0.02,2,0.8,1.4e-05
0.1,0.01,10000,0.02,2,0.9,2e-05
0.1,0.01,10000,0.05,5,0.05,0.000106
0.1,0.01,10000,0.05,5,0.1,5.8e-05
0.1,0.01,10000,0.05,5,0.2,3e-05
0.1,0.01,10000,0.05,5,0.3,3e-05
0.1,0.01,10000,0.05,5,0.4,2.8e-05
0.1,0.01,10000,0.05,5,0.5,2.6e-05
0.1,0.01,10000,0.05,5,0.6,2.6e-05
0.1,0.01,10000,0.05,5,0.7,2.4e-05
0.1,0.01,10000,0.05,5,0.8,2.6e-05
0.1,0.01,10000,0.05,5,0.9,1.6e-05
0.1,0.01,10000,0.1,10,0.05,3.8e-05
0.1,0.01,10000,0.1,10,0.1,3.2e-05
0.1,0.01,10000,0.1,10,0.2,2.4e-05
0.1,0.01,10000,0.1,10,0.3,2e-05
0.1,0.01,10000,0.1,10,0.4,2.6e-05
0.1,0.01,10000,0.1,10,0.5,4.6e-05
0.1,0.01,10000,0.1,10,0.6,4.6e-05
0.1,0.01,10000,0.1,10,0.7,5e-05
0.1,0.01,10000,0.1,10,0.8,3.8e-05
0.1,0.01,10000,0.1,10,0.9,4.8e-05
