h,s,N,U,Ufac,x,PrFix
0.1,0.01,5000,0.02,2,0.05,0.000388
0.1,0.01,5000,0.02,2,0.1,0.00022
0.1,0.01,5000,0.02,2,0.2,0.000156
0.1,0.01,5000,0.02,2,0.3,0.000164
0.1,0.01,5000,0.02,2,0.4,0.000128
0.1,0.01,5000,0.02,2,0.5,0.000128
0.1,0.01,5000,0.02,2,0.6,0.000144
0.1,0.01,5000,0.02,2,0.7,0.000172
0.1,0.01,5000,0.02,2,0.8,0.000184
0.1,0.01,5000,0.02,2,0.9,0.000204
0.1,0.01,5000,0.05,5,0.05,0.000368
0.1,0.01,5000,0.05,5,0.1,0.000156
0.1,0.01,5000,0.05,5,0.2,0.000156
0.1,0.01,5000,0.05,5,0.3,2.00E-04
0.1,0.01,5000,0.05,5,0.4,0.000184
0.1,0.01,5000,0.05,5,0.5,0.000228
0.1,0.01,5000,0.05,5,0.6,0.000224
0.1,0.01,5000,0.05,5,0.7,0.000256
0.1,0.01,5000,0.05,5,0.8,0.000264
0.1,0.01,5000,0.05,5,0.9,0.000256
0.1,0.01,5000,0.1,10,0.05,0.000336
0.1,0.01,5000,0.1,10,0.1,0.000176
0.1,0.01,5000,0.1,10,0.2,0.000248
0.1,0.01,5000,0.1,10,0.3,0.000268
0.1,0.01,5000,0.1,10,0.4,0.000384
0.1,0.01,5000,0.1,10,0.5,0.000344
0.1,0.01,5000,0.1,10,0.6,0.000424
0.1,0.01,5000,0.1,10,0.7,0.000448
0.1,0.01,5000,0.1,10,0.8,0.000568
0.1,0.01,5000,0.1,10,0.9,0.000704
