"h","s","N","U","Ufac","x","PrFix"
0.1,0.01,100,0.02,2,0.05,0.0236
0.1,0.01,100,0.02,2,0.1,0.0226
0.1,0.01,100,0.02,2,0.2,0.0188
0.1,0.01,100,0.02,2,0.3,0.0204
0.1,0.01,100,0.02,2,0.4,0.017
0.1,0.01,100,0.02,2,0.5,0.022
0.1,0.01,100,0.02,2,0.6,0.0174
0.1,0.01,100,0.02,2,0.7,0.017
0.1,0.01,100,0.02,2,0.8,0.0194
0.1,0.01,100,0.02,2,0.9,0.0214
0.1,0.01,100,0.05,5,0.05,0.0236
0.1,0.01,100,0.05,5,0.1,0.0234
0.1,0.01,100,0.05,5,0.2,0.0178
0.1,0.01,100,0.05,5,0.3,0.0172
0.1,0.01,100,0.05,5,0.4,0.0204
0.1,0.01,100,0.05,5,0.5,0.0198
0.1,0.01,100,0.05,5,0.6,0.02
0.1,0.01,100,0.05,5,0.7,0.019
0.1,0.01,100,0.05,5,0.8,0.0206
0.1,0.01,100,0.05,5,0.9,0.0194
0.1,0.01,100,0.1,10,0.05,0.0202
0.1,0.01,100,0.1,10,0.1,0.0208
0.1,0.01,100,0.1,10,0.2,0.0186
0.1,0.01,100,0.1,10,0.3,0.0226
0.1,0.01,100,0.1,10,0.4,0.0216
0.1,0.01,100,0.1,10,0.5,0.0206
0.1,0.01,100,0.1,10,0.6,0.02
0.1,0.01,100,0.1,10,0.7,0.0172
0.1,0.01,100,0.1,10,0.8,0.022
0.1,0.01,100,0.1,10,0.9,0.0188
