h,s,N,U,Ufac,x,PrFix
0.1,0.01,10000,0.02,2,0.05,0.007948
0.1,0.01,10000,0.02,2,0.1,0.003276
0.1,0.01,10000,0.02,2,0.2,0.000505
0.1,0.01,10000,0.02,2,0.3,9.10E-05
0.1,0.01,10000,0.02,2,0.4,1.80E-05
0.1,0.01,10000,0.02,2,0.5,1.00E-05
0.1,0.01,10000,0.02,2,0.6,7.00E-06
0.1,0.01,10000,0.02,2,0.7,7.00E-06
0.1,0.01,10000,0.02,2,0.8,7.00E-06
0.1,0.01,10000,0.02,2,0.9,2.00E-06
0.1,0.01,10000,0.05,5,0.05,0.001874
0.1,0.01,10000,0.05,5,0.1,0.000225
0.1,0.01,10000,0.05,5,0.2,1.00E-05
0.1,0.01,10000,0.05,5,0.3,6.00E-06
0.1,0.01,10000,0.05,5,0.4,4.00E-06
0.1,0.01,10000,0.05,5,0.5,6.00E-06
0.1,0.01,10000,0.05,5,0.6,3.00E-06
0.1,0.01,10000,0.05,5,0.7,4.00E-06
0.1,0.01,10000,0.05,5,0.8,1.00E-06
0.1,0.01,10000,0.05,5,0.9,0
0.1,0.01,10000,0.1,10,0.05,0.0002144
0.1,0.01,10000,0.1,10,0.1,1.20E-05
0.1,0.01,10000,0.1,10,0.2,4.40E-06
0.1,0.01,10000,0.1,10,0.3,4.00E-06
0.1,0.01,10000,0.1,10,0.4,4.00E-06
0.1,0.01,10000,0.1,10,0.5,2.80E-06
0.1,0.01,10000,0.1,10,0.6,4.00E-06
0.1,0.01,10000,0.1,10,0.7,8.00E-07
0.1,0.01,10000,0.1,10,0.8,3.60E-06
0.1,0.01,10000,0.1,10,0.9,2.40E-06
