"h","s","N","U","Ufac","x","PrFix"
0.25,0.01,1000,0.02,2,0.05,0.01538
0.25,0.01,1000,0.02,2,0.1,0.01076
0.25,0.01,1000,0.02,2,0.2,0.006
0.25,0.01,1000,0.02,2,0.3,0.00336
0.25,0.01,1000,0.02,2,0.4,0.00194
0.25,0.01,1000,0.02,2,0.5,0.00146
0.25,0.01,1000,0.02,2,0.6,8e-04
0.25,0.01,1000,0.02,2,0.7,0.00086
0.25,0.01,1000,0.02,2,0.8,0.00056
0.25,0.01,1000,0.02,2,0.9,0.00054
0.25,0.01,1000,0.05,5,0.05,0.00892
0.25,0.01,1000,0.05,5,0.1,0.00448
0.25,0.01,1000,0.05,5,0.2,0.00128
0.25,0.01,1000,0.05,5,0.3,0.00058
0.25,0.01,1000,0.05,5,0.4,0.00048
0.25,0.01,1000,0.05,5,0.5,0.00034
0.25,0.01,1000,0.05,5,0.6,0.00024
0.25,0.01,1000,0.05,5,0.7,2e-04
0.25,0.01,1000,0.05,5,0.8,0.00024
0.25,0.01,1000,0.05,5,0.9,2e-04
0.25,0.01,1000,0.1,10,0.05,0.0039
0.25,0.01,1000,0.1,10,0.1,0.00146
0.25,0.01,1000,0.1,10,0.2,0.00056
0.25,0.01,1000,0.1,10,0.3,0.00032
0.25,0.01,1000,0.1,10,0.4,0.00022
0.25,0.01,1000,0.1,10,0.5,0.00018
0.25,0.01,1000,0.1,10,0.6,0.00016
0.25,0.01,1000,0.1,10,0.7,1e-04
0.25,0.01,1000,0.1,10,0.8,0.00012
0.25,0.01,1000,0.1,10,0.9,4e-05
