"","beta","s","t","invSelAdv"
"1",0,0.1,0.1,1.15654563329335e-05
"2",0,0.2,0.2,2.95813730251229e-05
"3",0,0.1,0.2,3.5079030149359e-05
"4",0,0.2,0.1,8.13414426627188e-06
"5",0.1,0.1,0.1,0.000629041387170002
"6",0.1,0.2,0.2,0.00125937830331836
"7",0.1,0.1,0.2,0.0023510717167495
"8",0.1,0.2,0.1,6.12247001308162e-05
"9",0.2,0.1,0.1,0.0013178248751762
"10",0.2,0.2,0.2,0.00258261429269729
"11",0.2,0.1,0.2,0.00499763993925356
"12",0.2,0.2,0.1,0.000100689117020157
"13",0.3,0.1,0.1,0.00215526560016228
"14",0.3,0.2,0.2,0.00413874804012112
"15",0.3,0.1,0.2,0.00822715749757433
"16",0.3,0.2,0.1,0.000119527588261566
"17",0.4,0.1,0.1,0.00320703494127241
"18",0.4,0.2,0.2,0.00601521493265587
"19",0.4,0.1,0.2,0.0122689345838922
"20",0.4,0.2,0.1,0.00010671696378573
"21",0.5,0.1,0.1,0.00458512702084654
"22",0.5,0.2,0.2,0.00835184574466967
"23",0.5,0.1,0.2,0.0174824862317882
"24",0.5,0.2,0.1,4.58767319828146e-05
"25",0.6,0.1,0.1,0.00650144665993822
"26",0.6,0.2,0.2,0.0113880826960998
"27",0.6,0.1,0.2,0.0244559822021205
"28",0.6,0.2,0.1,-8.91253740443218e-05
"29",0.7,0.1,0.1,0.00941410894070335
"30",0.7,0.2,0.2,0.015584402598352
"31",0.7,0.1,0.2,0.0341819725774745
"32",0.7,0.2,0.1,-0.000346384225885933
"33",0.8,0.1,0.1,0.0145178673223066
"34",0.8,0.2,0.2,0.0219433188254395
"35",0.8,0.1,0.2,0.0483466960045324
"36",0.8,0.2,0.1,-0.000822076487781912
"37",0.9,0.1,0.1,0.0258307639012755
"38",0.9,0.2,0.2,0.0330391653563095
"39",0.9,0.1,0.2,0.0698694499825817
"40",0.9,0.2,0.1,-0.00162976144034015
