"","beta","r","h","s","invSelAdv"
"1",0,0.001,0,0.01,-0.00021772684297733
"2",0,0.001,0,0.05,-0.000491377537825737
"3",0,0.001,0.1,0.01,-0.00103350528229127
"4",0,0.001,0.1,0.05,-0.0050465072561011
"5",0,0.01,0,0.01,-0.000217617023726719
"6",0,0.01,0,0.05,-0.000490359193256802
"7",0,0.01,0.1,0.01,-0.0010330721743794
"8",0,0.01,0.1,0.05,-0.00504367747025405
"9",0,0.1,0,0.01,-0.000217604968405697
"10",0,0.1,0,0.05,-0.000490235060839669
"11",0,0.1,0.1,0.01,-0.0010329962248804
"12",0,0.1,0.1,0.05,-0.00504223931399044
"13",0,0.5,0,0.01,-0.000217603895596632
"14",0,0.5,0,0.05,-0.000490224541766527
"15",0,0.5,0.1,0.01,-0.0010329891211107
"16",0,0.5,0.1,0.05,-0.00504206870150057
"17",0.1,0.001,0,0.01,-0.000156391923843899
"18",0.1,0.001,0,0.05,-0.000240631294915708
"19",0.1,0.001,0.1,0.01,-0.00102845352905899
"20",0.1,0.001,0.1,0.05,-0.00504012991171065
"21",0.1,0.01,0,0.01,-0.000157760802808851
"22",0.1,0.01,0,0.05,-0.000248932126284573
"23",0.1,0.01,0.1,0.01,-0.00102862934949498
"24",0.1,0.01,0.1,0.05,-0.00503812576886173
"25",0.1,0.1,0,0.01,-0.000141992262091789
"26",0.1,0.1,0,0.05,-0.000207854759755633
"27",0.1,0.1,0.1,0.01,-0.00102723483564729
"28",0.1,0.1,0.1,0.05,-0.00503590561156868
"29",0.1,0.5,0,0.01,-0.000116612705248394
"30",0.1,0.5,0,0.05,-0.000152282223587897
"31",0.1,0.5,0.1,0.01,-0.00102481663490672
"32",0.1,0.5,0.1,0.05,-0.00503382657144834
"33",0.2,0.001,0,0.01,-0.000109928744492518
"34",0.2,0.001,0,0.05,-0.000135674943771948
"35",0.2,0.001,0.1,0.01,-0.00102390457230807
"36",0.2,0.001,0.1,0.05,-0.00503465372528863
"37",0.2,0.01,0,0.01,-0.000110497941169792
"38",0.2,0.01,0,0.05,-0.000137973861140352
"39",0.2,0.01,0.1,0.01,-0.00102452460879951
"40",0.2,0.01,0.1,0.05,-0.00503318596502947
"41",0.2,0.1,0,0.01,-8.98438458767595e-05
"42",0.2,0.1,0,0.05,-0.000105229925641533
"43",0.2,0.1,0.1,0.01,-0.00102220657974157
"44",0.2,0.1,0.1,0.05,-0.00503023484269932
"45",0.2,0.5,0,0.01,-6.40377665295977e-05
"46",0.2,0.5,0,0.05,-7.03015299120564e-05
"47",0.2,0.5,0.1,0.01,-0.00101859765423934
"48",0.2,0.5,0.1,0.05,-0.00502781373233133
"49",0.3,0.001,0,0.01,-7.72511420357214e-05
"50",0.3,0.001,0,0.05,-8.54068901552011e-05
